_action_text,_bill,_committees,_date,_status,_time,_type
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 597.,hr4,,2014-01-13,,,calendar
"Referred to the Committee on Education and the Workforce, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr5,HSED,2013-01-06,INTRODUCED,,referral
Referred to House Education and the Workforce,hr5,HSED,2013-01-06,,,referral
Referred to House Financial Services,hr5,HSBA,2013-01-06,,,referral
Ordered to be Reported (Amended) by the Yeas and Nays: 23 - 16.,hr5,,2013-01-19,REPORTED,,calendar
"Reported (Amended) by the Committee on Education and the Workforce. H. Rept. 113-150, Part I.",hr5,HSED,2013-01-11,,11:46:00,action
Committee on Financial Services discharged.,hr5,HSBA,2013-01-11,,11:46:00,action
"Placed on the Union Calendar, Calendar No. 108.",hr5,,2013-01-11,,11:46:00,calendar
Rules Committee Resolution H. Res. 303 Reported to House. Rule provides for consideration of H.R. 5 with 1 hour of general debate. Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Measure will be considered read. Specified amendments are in order. The resolution makes in order as original text for the purpose of amendment an amendment in the nature of a substitute consisting of the text of Rules Committee Print 113-18.,hr5,HSRU,2013-01-17,,21:24:00,action
Rule H. Res. 303 passed House.,hr5,,2013-01-18,,14:26:00,action
Considered under the provisions of rule H. Res. 303.,hr5,,2013-01-18,,14:33:00,action
Rule provides for consideration of H.R. 5 with 1 hour of general debate. Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Measure will be considered read. Specified amendments are in order. The resolution makes in order as original text for the purpose of amendment an amendment in the nature of a substitute consisting of the text of Rules Committee Print 113-18.,hr5,HSRU,2013-01-18,,14:33:00,action
House resolved itself into the Committee of the Whole House on the state of the Union pursuant to H. Res. 303 and Rule XVIII.,hr5,,2013-01-18,,14:34:00,action
The Speaker designated the Honorable Doc Hastings to act as Chairman of the Committee.,hr5,,2013-01-18,,14:34:00,action
GENERAL DEBATE - The Committee of the Whole proceeded with one hour of general debate on H.R. 5.,hr5,,2013-01-18,,14:34:00,action
"DEBATE - Pursuant to the provisions of H.Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Kline amendment No. 1.",hr5,,2013-01-18,,15:44:00,action
"DEBATE - Pursuant to the provisions of H.Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Young (AK) amendment No. 2.",hr5,,2013-01-18,,15:47:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Young (AK) amendment No. 2, the Chair put the question on adoption of the amendment and by voice vote, announced that the noes had prevailed. Mr. Young (AK) demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr5,,2013-01-18,,15:56:00,action
"DEBATE - Pursuant to the provisions of H.Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Cardenas amendment No. 3.",hr5,,2013-01-18,,15:57:00,action
"DEBATE - Pursuant to the provisions of H. Res. 303, the Committee of the Whole proceeded with 10 minutes of debate on the Luetkemeyer amendment No. 4.",hr5,,2013-01-18,,16:02:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Luetkemeyer amendment No. 4, the Chair put the question on adoption of the amendment and by voice vote, announced that the noes had prevailed. Mr. Luetkemeyer demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr5,,2013-01-18,,16:11:00,action
