_bill,_district,_joined_at,_name,_state,_title,_type
s27,0,2017-01-04,"Carper, Thomas R.",DE,Sen,original cosponsor
s27,0,2017-01-23,"Casey, Robert P., Jr.",PA,Sen,cosponsor
s27,0,2017-02-15,"Coons, Christopher A.",DE,Sen,cosponsor
s27,0,2017-03-02,"Duckworth, Tammy",IL,Sen,cosponsor
s27,0,2017-01-23,"Durbin, Richard J.",IL,Sen,cosponsor
s27,0,2017-01-04,"Feinstein, Dianne",CA,Sen,original cosponsor
s27,0,2017-01-10,"Franken, Al",MN,Sen,cosponsor
s27,0,2017-04-04,"Gillibrand, Kirsten E.",NY,Sen,cosponsor
s27,0,2017-01-05,"Heinrich, Martin",NM,Sen,cosponsor
s27,0,2017-02-09,"Heitkamp, Heidi",ND,Sen,cosponsor
s27,0,2017-01-04,"Klobuchar, Amy",MN,Sen,original cosponsor
s27,0,2017-01-04,"Leahy, Patrick J.",VT,Sen,original cosponsor
s27,0,2017-01-09,"Markey, Edward J.",MA,Sen,cosponsor
s27,0,2017-01-23,"Merkley, Jeff",OR,Sen,cosponsor
s27,0,2017-01-11,"Murphy, Christopher",CT,Sen,cosponsor
s27,0,2017-01-09,"Murray, Patty",WA,Sen,cosponsor
s27,0,2017-03-06,"Nelson, Bill",FL,Sen,cosponsor
s27,0,2017-03-27,"Peters, Gary C.",MI,Sen,cosponsor
s27,0,2017-02-28,"Shaheen, Jeanne",NH,Sen,cosponsor
s27,0,2018-04-23,"Smith, Tina",MN,Sen,cosponsor
s27,0,2017-02-15,"Udall, Tom",NM,Sen,cosponsor
s27,0,2017-01-09,"Van Hollen, Chris",MD,Sen,cosponsor
s27,0,2017-01-11,"Warren, Elizabeth",MA,Sen,cosponsor
s28,0,2017-01-04,"Flake, Jeff",AZ,Sen,sponsor
s28,0,2017-01-04,"Johnson, Ron",WI,Sen,original cosponsor
s28,0,2017-05-04,"Lee, Mike",UT,Sen,cosponsor
s29,0,2017-01-04,"Tester, Jon",MT,Sen,sponsor
s29,0,2017-01-04,"Collins, Susan M.",ME,Sen,original cosponsor
s29,0,2017-03-15,"Feinstein, Dianne",CA,Sen,cosponsor
s29,0,2017-04-24,"Hassan, Margaret Wood",NH,Sen,cosponsor
s29,0,2017-03-29,"Peters, Gary C.",MI,Sen,cosponsor
s30,0,2017-01-04,"Feinstein, Dianne",CA,Sen,sponsor
s30,0,2017-01-09,"Blumenthal, Richard",CT,Sen,cosponsor
s30,0,2017-01-04,"Cornyn, John",TX,Sen,original cosponsor
s30,0,2017-01-04,"Flake, Jeff",AZ,Sen,original cosponsor
s30,0,2017-01-04,"Franken, Al",MN,Sen,original cosponsor
s30,0,2017-01-04,"Gillibrand, Kirsten E.",NY,Sen,original cosponsor
s30,0,2017-01-05,"Hatch, Orrin G.",UT,Sen,cosponsor
s30,0,2017-01-04,"Inhofe, James M.",OK,Sen,original cosponsor
s30,0,2017-01-04,"Klobuchar, Amy",MN,Sen,original cosponsor
s30,0,2017-01-04,"Markey, Edward J.",MA,Sen,original cosponsor
s30,0,2017-01-12,"Murray, Patty",WA,Sen,cosponsor
s30,0,2017-01-09,"Rubio, Marco",FL,Sen,cosponsor
