_id,_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
C001105,"Comstock, Barbara",VA,10,Rep,VA10,Comstock,RepBarbaraComstock,Barbara Comstock,Republican,RepComstock,15937
C001059,"Costa, Jim",CA,16,Rep,CA16,Costa,RepJimCosta,Jim Costa,Democrat,RepJimCosta,15602
C001106,"Costello, Ryan A.",PA,6,Rep,PA6,Costello,CongressmanRyanCostello,Ryan A. Costello,Republican,RepRyanCostello,12393
C001045,"Crenshaw, Ander",FL,4,Rep,FL4,Crenshaw,200388204657,Ander Crenshaw,Republican,AnderCrenshaw,10597
D000598,"Davis, Susan A.",CA,53,Rep,CA53,Davis,RepSusanDavis,Susan A. Davis,Democrat,RepSusanDavis,17428
D000197,"DeGette, Diana",CO,1,Rep,CO1,DeGette,DianaDeGette,Diana DeGette,Democrat,RepDianaDeGette,40604
D000620,"Delaney, John K.",MD,6,Rep,MD6,Delaney,congressmanjohndelaney,John K. Delaney,Democrat,RepJohnDelaney,18482
D000617,"DelBene, Suzan K.",WA,1,Rep,WA1,DelBene,RepDelBene,Suzan K. DelBene,Democrat,RepDelBene,23208
D000623,"DeSaulnier, Mark",CA,11,Rep,CA11,DeSaulnier,RepMarkDeSaulnier,Mark DeSaulnier,Democrat,RepDeSaulnier,12562
D000616,"DesJarlais, Scott",TN,4,Rep,TN4,DesJarlais,ScottDesJarlaisTN04,Scott DesJarlais,Republican,DesJarlaisTN04,14840
D000600,"Diaz-Balart, Mario",FL,25,Rep,FL25,Diaz-Balart,mdiazbalart,Mario Diaz-Balart,Republican,MarioDB,34877
D000624,"Dingell, Debbie",MI,12,Rep,MI12,Dingell,RepDebbieDingell,Debbie Dingell,Democrat,RepDebDingell,33784
D000613,"Dold, Robert J.",IL,10,Rep,IL10,Dold,RepDold,Robert J. Dold,Republican,RepDold,6068
D000625,"Donovan, Daniel M., Jr.",NY,11,Rep,NY11,Donovan,RepDanDonovan,"Daniel M. Donovan, Jr.",Republican,RepDanDonovan,4481
D000482,"Doyle, Michael F.",PA,14,Rep,PA14,Doyle,usrepmikedoyle,Michael F. Doyle,Democrat,USRepMikeDoyle,16607
D000622,"Duckworth, Tammy",IL,8,Rep,IL8,Duckworth,SenDuckworth,Tammy Duckworth,Democrat,SenDuckworth,473433
E000290,"Edwards, Donna F.",MD,4,Rep,MD4,Edwards,107297211756,Donna F. Edwards,Democrat,RepDonnaEdwards,27745
