,district,name,state
162,3,"Lipinski, Daniel",IL
163,2,"LoBiondo, Frank A.",NJ
164,2,"Loebsack, David",IA
165,19,"Lofgren, Zoe",CA
166,7,"Long, Billy",MO
167,47,"Lowenthal, Alan S.",CA
168,3,"Luetkemeyer, Blaine",MO
169,3,"Lujan, Ben Ray",NM
170,12,"Maloney, Carolyn B.",NY
171,24,"Marchant, Kenny",TX
172,10,"Marino, Tom",PA
173,6,"Matsui, Doris O.",CA
174,10,"McCaul, Michael T.",TX
175,4,"McCollum, Betty",MN
176,2,"McGovern, James P.",MA
177,10,"McHenry, Patrick T.",NC
178,1,"McKinley, David B.",WV
179,5,"McMorris Rodgers, Cathy",WA
180,9,"McNerney, Jerry",CA
181,11,"Meadows, Mark",NC
182,6,"Meng, Grace",NY
183,4,"Moore, Gwen",WI
184,6,"Moulton, Seth",MA
185,18,"Murphy, Tim",PA
186,10,"Nadler, Jerrold",NY
187,8,"Nolan, Richard M.",MN
188,0,"Norton, Eleanor Holmes",DC
189,16,"O'Rourke, Beto",TX
190,22,"Olson, Pete",TX
191,3,"Paulsen, Erik",MN
192,10,"Payne, Donald M., Jr.",NJ
193,4,"Perry, Scott",PA
194,52,"Peters, Scott H.",CA
195,0,"Pierluisi, Pedro R.",PR
196,9,"Pittenger, Robert",NC
197,2,"Pocan, Mark",WI
198,2,"Polis, Jared",CO
199,4,"Pompeo, Mike",KS
200,5,"Quigley, Mike",IL
201,13,"Rangel, Charles B.",NY
202,23,"Reed, Tom",NY
203,4,"Rice, Kathleen M.",NY
204,2,"Rigell, E. Scott",VA
205,3,"Rogers, Mike D.",AL
206,27,"Ros-Lehtinen, Ileana",FL
207,6,"Roskam, Peter J.",IL
208,15,"Ross, Dennis A.",FL
209,40,"Roybal-Allard, Lucille",CA
210,39,"Royce, Edward R.",CA
211,2,"Ruppersberger, C. A. Dutch",MD
212,1,"Rush, Bobby L.",IL
213,13,"Ryan, Tim",OH
214,5,"Salmon, Matt",AZ
215,3,"Sarbanes, John P.",MD
216,1,"Scalise, Steve",LA
217,9,"Schakowsky, Janice D.",IL
218,5,"Schrader, Kurt",OR
219,13,"Scott, David",GA
220,15,"Shimkus, John",IL
221,2,"Simpson, Michael K.",ID
222,9,"Sinema, Kyrsten",AZ
223,8,"Sires, Albio",NJ
224,14,"Speier, Jackie",CA
225,21,"Stefanik, Elise M.",NY
226,15,"Stivers, Steve",OH
227,1,"Takai, Mark",HI
228,41,"Takano, Mark",CA
229,12,"Tiberi, Patrick J.",OH
230,20,"Tonko, Paul",NY
231,35,"Torres, Norma J.",CA
232,11,"Trott, David A.",MI
233,10,"Turner, Michael R.",OH
234,21,"Valadao, David G.",CA
235,8,"Van Hollen, Chris",MD
236,51,"Vargas, Juan",CA
237,33,"Veasey, Marc A.",TX
238,7,"Velazquez, Nydia M.",NY
239,2,"Wagner, Ann",MO
240,7,"Walberg, Tim",MI
241,2,"Walden, Greg",OR
242,2,"Walorski, Jackie",IN
243,45,"Walters, Mimi",CA
244,1,"Walz, Timothy J.",MN
245,23,"Wasserman Schultz, Debbie",FL
246,43,"Waters, Maxine",CA
247,10,"Webster, Daniel",FL
248,0,"Welch, Peter",VT
249,2,"Wenstrup, Brad R.",OH
250,1,"Whitfield, Ed",KY
251,24,"Wilson, Frederica S.",FL
252,3,"Womack, Steve",AR
253,3,"Yarmuth, John A.",KY
