_bill,_district,_id,_joined_at,_name,_state,_title,_type
hr6,1,C000266,2015-06-24,"Chabot, Steve",OH,Rep,cosponsor
hr6,27,C001080,2015-06-25,"Chu, Judy",CA,Rep,cosponsor
hr6,1,C001084,2015-06-24,"Cicilline, David N.",RI,Rep,cosponsor
hr6,5,C001101,2015-06-16,"Clark, Katherine M.",MA,Rep,cosponsor
hr6,9,C001067,2015-05-22,"Clarke, Yvette D.",NY,Rep,cosponsor
hr6,5,C001061,2015-06-24,"Cleaver, Emanuel",MO,Rep,cosponsor
hr6,6,C001077,2015-06-11,"Coffman, Mike",CO,Rep,cosponsor
hr6,9,C001068,2015-05-22,"Cohen, Steve",TN,Rep,cosponsor
hr6,27,C001092,2015-06-02,"Collins, Chris",NY,Rep,cosponsor
hr6,9,C001093,2015-06-24,"Collins, Doug",GA,Rep,cosponsor
hr6,10,C001105,2015-05-22,"Comstock, Barbara",VA,Rep,cosponsor
hr6,11,C001062,2015-06-23,"Conaway, K. Michael",TX,Rep,cosponsor
hr6,8,C001094,2015-06-24,"Cook, Paul",CA,Rep,cosponsor
hr6,16,C001059,2015-06-01,"Costa, Jim",CA,Rep,cosponsor
hr6,6,C001106,2015-06-11,"Costello, Ryan A.",PA,Rep,cosponsor
hr6,2,C001069,2015-05-22,"Courtney, Joe",CT,Rep,cosponsor
hr6,0,C001096,2015-05-22,"Cramer, Kevin",ND,Rep,cosponsor
hr6,4,C001045,2015-06-18,"Crenshaw, Ander",FL,Rep,cosponsor
hr6,26,C001107,2015-06-09,"Curbelo, Carlos",FL,Rep,cosponsor
hr6,13,D000619,2015-06-01,"Davis, Rodney",IL,Rep,cosponsor
hr6,53,D000598,2015-06-25,"Davis, Susan A.",CA,Rep,cosponsor
hr6,1,D000197,2015-05-19,"DeGette, Diana",CO,Rep,original cosponsor
hr6,6,D000620,2015-06-25,"Delaney, John K.",MD,Rep,cosponsor
hr6,1,D000617,2015-06-24,"DelBene, Suzan K.",WA,Rep,cosponsor
hr6,10,D000612,2015-06-15,"Denham, Jeff",CA,Rep,cosponsor
hr6,15,D000604,2015-06-09,"Dent, Charles W.",PA,Rep,cosponsor
hr6,11,D000623,2015-05-22,"DeSaulnier, Mark",CA,Rep,cosponsor
hr6,4,D000616,2015-06-23,"DesJarlais, Scott",TN,Rep,cosponsor
hr6,25,D000600,2015-06-23,"Diaz-Balart, Mario",FL,Rep,cosponsor
hr6,12,D000624,2015-05-22,"Dingell, Debbie",MI,Rep,cosponsor
