_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-26_00-39-23,hr,2523,116,PARSED,Anti-Congestion Tax Act,"To condition the receipt of certain grants by the Metropolitan Transportation Authority on exempting certain drivers from congestion fees, and for other purposes.",False,False,2019-05-03,Transportation and Public Works,G000583,Josh Gottheimer,D,1,0,1,0
2021-02-26_00-39-24,hr,2524,116,PARSED,RIP MSP Act,To repeal the multi-State plan program.,False,False,2019-05-03,Health,M001187,Mark Meadows,R,0,0,0,0
2021-02-26_00-39-24,hr,2525,116,PARSED,Steel Valley National Heritage Area Act,"To establish the Steel Valley National Heritage Area in the States of Pennsylvania and Ohio, and for other purposes.",False,False,2019-05-03,Public Lands and Natural Resources,R000577,Tim Ryan,D,4,1,3,0
2021-02-26_00-39-25,hr,2526,116,PARSED,United States Territorial Relief Act of 2019,To provide the option of discharging certain unsecured financial obligations of self-governing territories of the United States.,False,False,2019-05-03,Government Operations and Politics,V000081,Nydia M. Velázquez,D,15,15,0,0
2021-02-26_00-39-27,hr,2527,116,PARSED,Vaccinate All Children Act of 2019,"To amend the Public Health Service Act to condition receipt by States (and political subdivisions and public entities of States) of preventive health services grants on the establishment of a State requirement for students in public elementary and secondary schools to be vaccinated in accordance with the recommendations of the Advisory Committee on Immunization Practices, and for other purposes.",False,False,2019-05-03,Health,W000808,Frederica Wilson,D,18,18,0,0
2021-02-26_00-39-28,hr,2528,116,PARSED,STEM Opportunities Act of 2019,"To direct the Director of the Office of Science and Technology Policy to carry out programs and activities to ensure that Federal science agencies and institutions of higher education receiving Federal research and development funding are fully engaging their entire talent pool, and for other purposes.",True,False,2019-05-07,Education,J000126,Eddie Bernice Johnson,D,29,25,4,0
2021-02-26_00-39-29,hr,2529,116,PARSED,Richard G. Lugar and Ellen O. Tauscher Act to Maintain Limits on Russian Nuclear Forces,"To require certain reports and briefings to Congress relating to the expiration of the New START Treaty, and for other purposes.",False,False,2019-05-07,International Affairs,E000179,Eliot L. Engel,D,18,16,2,0
2021-02-26_00-39-29,hr,2530,116,PARSED,Interim Stay Authority To Protect Whistleblowers Act,"To provide temporary authority to the general counsel of the Merit Systems Protection Board to grant stays of personnel actions, and for other purposes.",False,False,2019-05-07,Government Operations and Politics,C001078,Gerald E. Connolly,D,2,2,0,0
2021-02-26_00-39-30,hr,2531,116,PARSED,National Strategic and Critical Minerals Production Act,"To require the Secretary of the Interior and the Secretary of Agriculture to more efficiently develop domestic sources of the minerals and mineral materials of strategic and critical importance to the economic and national security and manufacturing competitiveness of the United States, and for other purposes.",False,False,2019-05-07,Public Lands and Natural Resources,A000369,Mark Amodei,R,38,0,38,0
2021-02-26_00-39-31,hr,2532,116,PARSED,Tribal Heritage and Grizzly Bear Protection Act,"To protect grizzly bear populations, and for other purposes.",False,False,2019-05-07,Animals,G000551,Raúl M. Grijalva,D,10,10,0,0
